a	art. 一（个）；每一（个）
raid	n&vt. 袭击； 突入查抄， 突入搜捕； 劫掠
rail	vi. 责骂， 抱怨 n. 栏杆，横杆；铁轨，轨道；铁路
railroad	n. 铁路 vt. 由铁路运输
railway	n. 铁路，铁道
rain	n. 雨，雨水 v. 下雨
rainbow	n. 虹， 彩虹
rainy	adj. 下雨的，多雨的
raise	v. 提高；筹款；抚养
rally	v. 集合， 团结； 恢复， 重新振作 n. 集会；公路汽车赛
range	v. 变动； 漫游， 四处搜索； 使排列成行 n. 一系列；范围；射程，距离；脉；射击场
rank	v. 给…评定等级； 列入， 占特定等级 n. 军衔，职衔；地位，社会阶层；排，行列
rapid	adj. 快的
rare	adj. 稀有的， 冷僻的； 珍奇的； 出类拔萃的； 稀薄的； 煎得嫩的
rarely	adv. 很少， 难得
rat	n. 老鼠，耗子
rate	vi. 被评价； 被列入特定级别 n. 速度，速率；比率；价格，费用；等级 vt. 评估；给…定级，把…列为；值得，应得
rather	adv. 相当；宁可，宁愿
ratio	n. 比， 比率
rational	adj. 理性的， 理智的； 合理的
raw	adj. 自然状态的， 未加工过的； 生的； 未经分析的， 原始的； 生疏无知的， 未经训练的； 露肉而刺痛的
ray	n. 光线；射线，辐射线
reach	v. 抵达；伸出；达到
react	vi. 反应， 作出反应
reaction	n. 反应；反作用力
read	v. 读，看懂
reader	n. 读者；读物，读本
readily	adv. 乐意地， 欣然地； 容易地； 很快地， 立即
reading	n. 读书；读，阅读
ready	adj. 准备好的；愿意的
real	adj. 真的；现实的
realistic	adj. 现实的； 实际可行的； 现实主义的； 逼真的
reality	n. 现实， 实际； 真实
realize	v. 认识到；实现
really	adv. 真正地；实在
realm	n. 界， 领域， 范围； 王国， 国度
rear	adj. 后部的，背后的 n. 后部，背面；后方 vt. 抚养， 饲养； 种植
rearrange	v. 重新安排
reason	n. 理由；理性 v. 推理
reasonable	adj. 通情达理的， 讲道理的； 合理的； 公道的； 尚好的， 过得去的
reassess	v. 重新评估
rebel	vi. 反叛， 造反； 反对， 不服从 n. 反叛分子， 反对者
rebuild	v. 重建， 改造； 复原
recall	v. 回忆； 召回， 叫回； 收回， 撤销
receipt	n. 发票， 收据； 收入， 进款； 收到， 接到
receive	v. 得到；收到；接待
receiver	n. 收受者，收件人
recent	adj. 新近的，最近的
recently	adv. 最近， 新近
reception	n. 招待会， 欢迎会； 接受； 接待； 接收效果
recession	n. 衰退， 衰退期
recharge	v. 再充电
reckon	vt. 认为， 估计； 指望， 盼望； 测算， 测量
recognition	n. 认出， 识别； 承认； 赏识， 表彰， 报偿
recognize	vt. 认出， 识别； 承认； 赏识， 表彰， 报偿
recommend	vt. 推荐， 举荐； 劝告， 建议； 使成为可取； 使受欢迎
recommendation	n. 推荐， 推荐信； 建议； 优点， 可取之处
record	n. 记录；履历 v. 记录
recorder	n. 录音机， 录像机； 记录装置， 记录仪
recover	v. 重新获得， 挽回； 恢复
recovery	n. 恢复， 痊愈； 追回， 寻回， 收复
recreation	n. 娱乐活动， 消遣
recreational	adj. 休养的； 娱乐的
recruit	vt. 招募，吸收 n. 新兵； 新成员
recycle	v. 循环，再利用
red	adj. 红色的 n. 红色
reduce	v. 减少，减小
reduction	n. 减少， 缩小； 下降， 降低
refer	v. 谈到
reference	n. 提到， 论及； 参考； 引文； 参考书目； 证明书， 证明人
refine	vt. 精炼， 精制， 提纯； 使优美， 使完善
reflect	v. 反映， 显示； 反射， 映现； 深思， 考虑， 反省
reflection	n. 映像， 倒影； 反射； 反映， 表达； 非议； 沉思， 反省
reflexion	n. 映象；反映；反射
reform	n&v. 改革， 改良， 改造； 改正， 改过自新
reframe	v. 再构造(图画、照片等)
refresh	v. 振作精神， 恢复活力
refreshing	adj. 恢复活力的
refrigerator	n. 冰箱， 冷藏库
refuel	v. （给）加油，加燃料
refugee	n. 难民
refusal	n. 拒绝
refuse	v. 拒绝
regard	v. 把…看作
regarding	prep. 关于
regardless	adv. 不顾后果地； 不管怎样， 无论如何
region	n. 地区， 地带， 区域； 范围， 幅度
register	v. 登记， 注册； 指示， 自动记下； 流露； 表示， 表达； 把挂号 n. 登记；登记表
regret	v. 懊悔；抱歉 n. 懊悔
regular	adj. 有规律的，经常的
regularly	adv. 定期地，有规律地
regulate	vt. 管理， 控制； 调整， 调节
regulation	n. 规章， 规则； 管理， 控制； 调节
reinforce	vt. 增强， 加强， 增援
reject	vt. 拒绝； 拒纳， 退回 n. 次品
relate	vi. 有关， 涉及； 符合； 相处 vt. 使有关联；讲述，叙述
relation	n. 关系，联系；家属
relationship	n. 关系， 关联
relative	adj. 有关系的，相对的 n. 亲属， 亲戚
relativity	n. 相对论； 相关性
relax	v. 放松， 松弛； 放宽， 缓和
release	vt. 释放， 排放； 解除， 解脱； 放开， 松开； 发布； 发行
relevant	adj. 有关的， 切题的
reliability	n. 可靠性
reliable	adj. 可靠的， 可信赖的
relief	n. 轻松， 宽慰； 缓解； 调剂， 消遣； 接替
relieve	vt. 使轻松， 使宽慰， 缓解； 使得到调剂； 接替
religion	n. 宗教， 宗教信仰
religious	adj. 宗教的； 笃信宗教的， 虔诚的
reluctant	adj. 不情愿的， 勉强的
rely	vi. 依靠， 依赖； 信赖， 指望
remain	vi. 剩下，余留；保持；仍然是 n. 残余； 残骸； 遗迹
remark	vt. 说；评论说 n. 话语； 谈论， 评论
remarkable	adj. 值得注意的， 引人注目的； 异常的， 非凡的
remedy	n. 补救办法，纠正办法；药品；治疗法 vt. 补救， 纠正； 医治， 治疗
remember	v. 记得；想起；记住
remind	vt. 提醒， 使想起
remonstrate	v. 抗议
remote	adj. 遥远的； 偏僻的； 关系疏远的； 脱离的； 微乎其微的； 孤高的， 冷淡的； 遥控的
removal	n. 除去， 消除； 移动， 搬迁
remove	v. 移动，搬开；脱掉
render	vt. 使得， 致使； 给予， 提供； 翻译
renew	v. 重新开始， 继续； 更新； 恢复； 延长有效期
rent	v. 租借，租用；出租，出借 n. 租金； 出租
rental	n. 租金
repair	v. 修理，修补 n. 修理，修补
repave	v. 再铺，重新铺砌
repeat	v. 重说，重做 n. 重演，重现
repeatedly	adv. 一再， 再三， 多次地
repetition	n. 重复， 反复
replace	vt. 代替， 取代； 更换， 调换； 把…放回原处
replacement	n. 代替， 取代； 更换， 调换； 替代的人
reply	v. 回答，答复 n. 回答，答复
report	v. 报告；汇报
reporter	n. 记者，通讯员
represent	vt. 作为…的代表； 表示， 象征； 描绘， 表现
representative	adj. 有代表性的， 典型的 n. 代表，代理人
reproduce	v. 复制， 再现； 繁殖， 生殖
reproductive	adj. 生殖的，再生的
republic	n. 共和国，共和政体
republican	adj. 共和政体的；共和党的 n. 共和党人
reputation	n. 名誉， 名气， 名声
request	n. 请求，要求 v. 请求，要求
require	vt. 需要； 要求； 命令
requirement	n. 要求； 必要条件； 需要， 需要的东西
rescue	v. 营救，解救，救援 n. 营救，解救，救援
resemble	vt. 像， 类似于
reservation	n. 预订； 保留； 犹豫； 保留地
reserve	vt. 保留，留存；预订 n. 储备； 保留； 拘谨， 矜持； 替补队员， 后备部队； 自然保护区
reservoir	n. 水库， 蓄水池； 储藏， 汇集
residence	n. 住处， 住宅； 居住； 居住资格
resident	adj. 居住的， 定居的； 住校的， 住院的 n. 居民，定居者；住院医生
resign	vi. 辞职 vt. 辞去， 放弃； 使听从， 使顺从
resist	v. 抵抗， 反抗， 抵制； 抗， 耐； 忍住， 拒受…的影响
resistance	n. 反抗， 抵制； 抵抗力， 抵抗性； 阻力； 电阻
resistant	adj. 抵抗的， 抗…的， 耐…的
resolution	n. 正式决定， 决议； 决心， 决意； 解决， 解答； 分辨率， 清晰度
resolve	n&v. 解决， 解答； 决定， 决意
resort	vi. 求助，凭借，诉诸 n. 求助， 凭借， 诉诸； 求助的对象， 采用的手段； 常去之地， 胜地
resource	n. 资源； 财力； 应付办法， 谋略
resourceful	adj. 机智的
respect	n. 尊敬；尊重；问候；方面 vt. 尊敬； 尊重
respectful	adj. 有礼貌的，尊重的
respective	adj. 各自的， 各个的， 分别的
respectively	adv. 各自地， 各个地， 分别地
respond	vi. 回答， 答复； 作出反应， 响应
respondent	n. 回答者； 响应者； 被告
response	n. 回答， 答复； 反应， 响应
responsibility	n. 责任， 责任心； 职责， 义务
responsible	adj. 需负责任的， 承担责任的； 有责任感的， 负责可靠的； 责任重大的， 重要的
responsive	adj. 响应的； 敏感的， 易受影响的
restless	adj. 焦躁不安的； 静不下来的， 运动不止的
restock	v. 重新进货，再储存
restore	vt. 恢复， 使回复； 修复， 整修； 归还， 交还
restrain	vt. 阻止， 控制； 抑制， 遏制
restraint	n. 抑制， 限制， 克制； 约束措施， 约束条件
restrict	vt. 限制， 约束， 限定
restriction	n. 限制，限定
result	vi. 发生； 结果 n. 结果；成果；比分
resume	vt. 重新开始， 继续， 恢复 n. 摘要， 概要； 简历
retail	n. 零售 v. 零售
retailer	n. 零售商
retain	v. 保持，保留，保有
retire	vi. 退休， 退役； 退下， 退出， 撤退； 就寝
retirement	n. 退休
retrain	v. 再教育；再训练
retreat	n&vi. 退却， 撤退； 退避， 退缩
reveal	vt. 揭露， 泄露； 展现， 显示
revenge	n. 报仇
revenue	n. 收入， 收益； 税收， 岁入
reverse	v. 撤销，推翻；反向，倒转；彻底改变 adj. 反向的， 相反的， 倒转的 n. 相反，对立面；反面，背面，后面；挫折，逆境
review	v. 再检查 n. 复习
revise	v. 修订， 修改； 复习
revolt	v. 反叛，起义；反抗，违抗；厌恶，生反感 n. 反叛， 起义
revolution	n. 革命；旋转，绕转
revolutionary	adj. 革命的，革新的 n. 革命者
reward	n. 报答，奖赏；报酬，酬金 vt. 报答， 酬谢， 奖励
rhythm	n. 韵律，格律；节奏
rib	n. 肋，肋骨
ribbon	n. 缎带， 丝带； 色带
rid	vt. 使摆脱， 解除…的负担， 从…中清除
ridge	n. 脊， 山脊； 垄， 埂， 脊状突起
ridiculous	adj. 荒谬的， 可笑的
rifle	n. 来复枪， 步枪
rigid	adj. 严格的； 死板的； 刚硬的， 僵硬的
rigorous	adj. 严格的
ring	n. 拳击台
riot	vi. 聚众闹事 n. 暴乱，骚乱；极度丰富 vt. 把浪费在放荡的生活上
riotous	adj. 狂暴的
ripe	adj. 熟的； 时机成熟的
risk	n. 危险，风险；引起危险的事物 vt. 冒…的危险， 使遭受危险
rival	adj. 竞争的，对抗的 n. 竞争对手，敌手；可与匹敌的人 vt. 与 …竞争； 与…匹敌， 比得上
roar	v. 吼叫，怒号，咆哮；轰鸣；大声喊出，大声表示 n. 呐喊声， 咆哮声， 吼叫声； 轰鸣
roast	v. 烤，炙，烘 adj. 烤过的， 烘过的 n. 烤肉
rob	vt. 抢劫， 盗窃
robot	n. 机器人；自动机
rocket	vi. 迅速上升， 猛涨 n. 火箭
rod	n. 杆，竿，棒
roll	v. 滚动；转动
roller	n. 滚筒，滚轴；滚柱
Roman	n. 古罗马人 adj. 罗马的
romantic	adj. 浪漫的； 多情的； 有浪漫色彩的， 传奇性的； 不切实际的， 空想的
rope	n. 绳，索 vt. 用绳捆
rotary	adj. 旋转的，转动的
rotate	v. 旋转， 转动； 轮流
rotation	n. 旋转，转动
rotten	adj. 腐烂的； 令人不愉快的； 糟糕的
rough	adj. 表面不平的；粗略的
rouse	vt. 惊起； 唤起； 唤醒
route	n. 路线， 路程
routine	adj. 例行的， 常规的 n. 例行公事，惯例，惯常的程序
routinely	adv. 例行公事地
row	n. （一）排，（一）行
royal	adj. 王室的， 皇家的
rub	vt. 擦， 摩擦
rude	adj. 粗鲁的， 不礼貌的； 粗糙的， 粗陋的
rug	n. 小地毯；毛毯
ruin	v. 毁坏 n. 毁灭；废墟
rumour	n. 谣传， 谣言
rural	adj. 农村的， 乡村的
rush	v. 冲，奔；催促
rust	v. 生锈， 氧化 n. 铁锈
sack	n. 麻袋，包；解雇；洗劫，劫掠 vt. 解雇； 洗劫， 劫掠
sacrifice	v. 牺牲，舍身；献祭，供奉 n. 牺牲； 供奉； 祭品
saddle	n. 鞍，鞍状物；车座 vt. 给…装鞍； 使承担任务
sail	n. 帆；船 v. 航行
sailor	n. 水手， 海员
saint	n. 圣徒； 圣人， 道德高尚的人； [用于人名或地名等前]圣
sake	n. 缘故， 理由
salad	n. 色拉， 凉拌菜
salary	n. 薪金， 薪水
salesman	n. 售货员， 推销员
sample	n. 样品，试样，样本 vt. 从…抽样； 品尝， 体验
sanction	vt. 批准，认可 n. 批准， 认可； 约束因素， 约束力； 国际制裁
satellite	n. 卫星， 人造卫星
satisfactory	adj. 令人满意的，良好的
sauce	n. 调味汁， 作料
saucer	n. 茶托， 碟子
sausage	n. 香肠， 腊肠
save	v. 节省
saving	n. 节省， 节约； 储蓄金， 存款
saw	n. 锯子 v. 锯，锯开
say	v. 比如说[用于举例]
scale	n. 大小，规模；等级，级别；天平，磅秤；比例；刻度，标度；鳞 vt. 攀登， 爬越
scan	vt. 细看，审视；扫描，浏览 n. 扫描
scandal	n. 丑事， 丑闻； 流言蜚语； 反感， 愤慨
scarce	adj. 缺乏的， 不足的； 稀少的， 罕见的
scarcely	adv. 几乎不， 简直不； 决不； 刚刚， 才
scare	v. 吓， 使害怕； 受惊吓， 感到害怕 n. 惊恐，恐慌
scary	adj. 引起惊慌的
scatter	v. 撒， 散播； 散开， 驱散
scenery	n. 风景， 景色； 舞台布景
schedule	n. 时刻表，日程安排表；清单，明细表 vt. 安排， 排定
scheme	v. 密谋， 策划 n. 计划，方案；阴谋
scholar	n. 学者（尤指文学方面）
scholarship	n. 奖学金； 学问， 学识
scientific	adj. 科学（上）的
scissors	n. 剪刀，剪子
scold	v. 责骂， 训斥
scope	n. 范围； 余地， 机会
score	v. 得， 给…打分； 画线于， 做记号于； 赢得 n. 得分，比数，成绩；二十
scout	v. 侦察， 寻找 n. 侦察员，侦察机，侦察舰；童子军
scrape	v. 刮，擦 n. 刮， 擦； 刮擦声
scratch	v. 抓，搔，扒；刮，擦；刻出 n. 抓痕， 划痕； 抓， 搔， 刮
scream	vi. 尖叫，呼啸 n. 尖叫声
screen	n. 屏幕，银幕；屏风；帘，纱窗 vt. 掩蔽， 遮蔽； 放映， 播放； 审查， 甄别
screw	n. 螺丝 vt. 固定， 拧紧
script	n. 剧本， 广播稿； 书写用的字母； 笔迹， 手迹
seal	n. 封铅，封条；印，图章；海豹 vt. 封
secondary	adj. 次要的， 第二的； 中等的； 辅助的， 从属的
secretary	n. 秘书；书记；大臣
section	n. 部分， 章节； 部门， 科； 截面， 剖面
sector	n. 部门， 部分； 防御地段， 防区； 扇形
secure	adj. 安全的，可靠的；牢固的，稳固的；无忧虑的，安心的 vt. 得到， 获得； 使安全， 保卫； 缚牢
security	n. 安全， 保障； 抵押品； 证券
seed	n. 种（子），籽；起因，萌芽
seek	v. 寻找，探索；试图
seemingly	adv. 表面上看
segment	n. 部分， 片段； 瓣
seize	v. 抓住；夺取；逮捕
seldom	adv. 很少，罕见
select	adj. 精选的， 挑选出来的； 优等的， 第一流的 vt. 选择，挑选
selection	n. 选择， 挑选； 被挑选出来的人， 精选品； 可供选择的东西
selective	adj. 选择的,精选的
selfish	adj. 自私的， 利己的
semester	n. 学期
semiconductor	n. 半导体
seminar	n. 研究班， 研讨会
senate	n. 参议院， 上院
senator	n. 参议员
senior	adj. 资格较老的，地位较高的；年长的 n. 较年长者； 毕业班学生
sensible	adj. 明智的； 合情理的； 有知觉的
sensitive	adj. 敏感的， 灵敏的， 神经过敏的； 容易生气的， 易受伤害的
sentence	n. 判决 v. 判决
separate	adj. 分离的；个别的
separately	adv. 分别地，另行
sequence	n. 连续， 接续， 一连串； 次序， 顺序
series	n. 一系列， 连续； 丛书， 连续剧
serve	v. 为…服务；招待
session	n. 会议， 一届会期； 集会
setting	n. 环境， 背景， 布景； 调节， 设定的位置
settle	v. 安排， 安放； 调停； 支付， 核算； 安家； 飞落， 停留； 安定
settlement	n. 解决； 协议； 居留地
severe	adj. 严重的； 严厉的， 严格的； 严峻的， 艰难的； 朴素的， 不加装饰的
sew	v. 缝制， 缝纫
sexism	n. 性别偏见， 性别歧视
sexual	adj. 性的， 两性的； 性别的
shade	n. 荫；遮光物 v. 荫蔽
shallow	adj. 浅的；浅薄的 n. 浅滩， 浅水处
shave	v. 剃，刮，刨，削；修面，刮脸 n. 修面， 刮脸
shear	v. 剪；剥夺
shed	vt. 脱落，脱去；流出，流下；发出，散发 n. 棚， 小屋， 货棚
sheer	adv. 垂直地，陡峭地 vi. 急转向， 偏离 adj. 完全的，十足的；陡峭的，垂直的；极薄的，透明的
sheet	n. 被单；纸张；薄板
shelf	n. 搁板，架子
shell	n. 壳，贝壳；外壳，框架；炮弹 vt. 剥…的壳； 炮击
shelter	n. 掩蔽处，躲避处；住所；掩蔽，保护 vt. 掩蔽， 庇护； 躲避
shield	n. 防护物，护罩；盾 vt. 保护， 防护
shift	v. 移动，转移；改变，转变 n. 转换， 转变； 轮班
shiver	v. 颤抖，哆嗦 n. 冷颤
shock	v. 感到震惊
shoot	v. 发射；射中 n. 芽
shore	n. 滨，岸
shortage	n. 不足，缺少，不足额
shortcoming	n. 短处， 缺点
shortcut	n. 捷径，近路
shortly	adv. 立刻， 不久； 不耐烦地； 简短地
shot	n. 发射；弹丸；射门
shower	n. 阵雨；（一）阵；淋浴
showmanship	n. 主持演出的技巧
shriek	v. 尖声喊叫 n. 尖叫声
shrink	v. 起皱； 收缩； 退缩， 畏缩
shrug	n&v. 耸肩
sideways	adv&adj. 从一边， 向一边； 在一边； 斜着， 侧身
sigh	vi. 叹气， 叹息 n. 叹息
sightseeing	n. 观光， 游览
sign	n. 符号；招牌 v. 签名
signal	adj. 显著的， 重大的 n. 信号，暗号；标志，表示 vt. 发信号；标志着
signature	n. 署名， 签字， 签名
significance	n. 意义， 含义； 重要性， 重大
significant	adj. 相当数量的； 重要的， 意义重大的， 意味深长的
silence	n. 沉默 v. 使沉默
silent	adj. 寂静无声的；沉默的
silk	n. 蚕丝，丝，丝织品
silly	adj. 傻的，愚蠢的
silver	n. 银；银币；银器
similar	adj. 相似的， 类似的
similarly	adv. 类似地， 相似地
simplicity	n. 简单， 简易； 朴素
simplify	vt. 简化， 使简明
simply	adv. 简单地；朴素地
sin	vi. 犯戒律， 犯过失 n. 罪，罪孽
sincere	adj. 真诚的， 诚挚的
single	adj. 单一的；独身的；单程的 n. 单程票；
singular	adj. 单数的； 非凡的， 奇特的； 独一无二的
site	n. 地点，场所 vt. 使坐落在； 设置
situation	n. 情况
sketch	v. 绘…的略图， 画…的素描； 概述 n. 略图；梗概；素描，速写
skilled	adj. 有技能的； 熟练的； 需要技能的
skillful	adj. 灵巧的， 娴熟的
skim	v. 撇去， 掠过， 擦过； 浏览， 略读
skyrocket	v. 突升，猛涨
slam	v. 砰地关上；猛力拉，砰地放下；猛烈抨击 n. 砰的一声
slap	vt. 掴，掌击，拍；啪的一声放 n. 掴， 掌击， 拍
slave	n. 奴隶
sleeve	n. 袖子， 袖套
slender	adj. 细长的， 苗条的； 微薄的， 不足的
slice	n. 薄片，切片；部分 vt. 切， 削
slide	v. 滑；悄悄地移动 n. 滑动； 滑道， 滑面； 幻灯片
slight	adj. 轻微的，微小的 v. 侮慢；轻视，冷落
slightly	adv. 轻微地
slim	adj. 苗条的；薄的；少的 v. 减轻体重， 变苗条
slip	v. 滑跤，滑落，溜；下降，跌落；悄悄放进 n. 疏漏， 差错
slippery	adj. 滑的；模糊的，不明确的，
slit	n. 裂缝 v. 切开，撕开
slope	n. 倾斜；斜面 v. 倾斜
smart	adj. 聪颖的，机灵的
smash	v. 粉碎，打烂；狠打，猛击；破灭，失败；猛撞，猛冲 n. 破碎 ； 猛击， 猛撞； 轰动的演出， 巨大的成功
smooth	adj. 光滑的
snack	n. 零食，小吃
snap	v. 咔嚓折断，啪地绷断；吧嗒一声；猛咬；厉声说话，怒声责骂 adj. 仓促的， 突然的 n. 吧嗒声；快照
so-called	adj. 所谓的， 号称的
soak	v. 浸， 泡
soar	vi. 猛增， 剧增； 高飞， 升腾； 高涨； 高耸， 屹立
social	adj. 社会的； 交际的， 社交的
socialism	n. 社会主义
socialist	n. 社会主义者
socialize	v. 交往，联谊
sociology	n. 社会学
soda	n. 碳酸钠， 纯碱； 汽水， 苏打水
software	n. 软件
soil	v. 弄脏
solar	adj. 太阳的， 日光的； 太阳能的
sole	adj. 单独的， 唯一的 n. 脚底，鞋底，袜底
solely	adv. 单独地，唯一地
solemn	adj. 严肃的，庄重的；庄严的；隆重的
solicitor	n. 律师， 法律顾问
solid	adj. 固体的 n. 固体
soluble	adj. 可溶的；可以解决的
solution	n. 解决； 解决办法； 溶液
solve	vt. 解答； 解释； 解决
somebody	pron. 某人，有人
somehow	adv. 由于某种原因， 不知怎么的； 以某种方式
sometime	adv. 在某一时候；从前
somewhat	adv. 有点儿 pron. 一点儿
sophisticated	adj. 老于世故的； 高级的； 精密的， 复杂的； 高雅的
sore	adj. 痛的；恼火的；急剧的，剧烈的 n. 疮， 痛处
sorrow	n. 悲痛， 悲哀， 悲伤； 伤心事， 不幸的事
sort	n. 种类；类别 v. 整理
sound	adj. 健康的；完好的
sour	adj. 酸的；馊的，酸味的；脾气坏的 v. 变酸， 变馊； 变得乖戾
source	n. 河的源头， 根源； 来源， 出处
sow	v. 播， 播种
spacecraft	n. 航天器， 宇宙飞船
spade	n. 铲， 铁锹
span	n. 跨距，一段时间 vt. 持续， 贯穿； 包括； 横跨， 跨越
spare	v. 抽出；拨出；留出；匀出 adj. 多余的
spark	vi. 发出火花 n. 火花，火星
specialist	n. 专家
specialize	vi. 成为…专家； 专攻
species	n. 种， 类
specific	adj. 特有的；具体的，明确的 n. 详情， 细节
specifically	adv. 特别地， 特定地； 明确地， 具体地
specify	vt. 指定； 详细说明
specimen	n. 样本， 标本， 样品
spectacular	adj. 壮观的，引人注目的 n. 壮观的演出； 惊人之举
speculate	v. 推测， 推断； 投机， 做投机买卖
spelling	n. 拼字， 拼法， 拼写法
sphere	n. 球， 球体； 范围
spider	n. 蜘蛛
spill	v. 溢出，洒落 n. 溢出
spin	v. 旋转；晕眩；纺，织；绞干，甩干 n. 旋转， 自转
spiritual	adj. 精神的， 心灵的； 宗教的
spit	v. 吐唾沫，吐出 n. 唾沫， 唾液
spite	3、释义:n. 不顾；恶意，怨恨 v. 刁难，欺侮
splendid	adj. 壮丽的； 极好的
split	v. 分裂，分离；被撕裂，裂开；分担，分享 n. 裂口
spoil	v. 损坏，糟蹋；宠坏，溺爱；变质 n. 战利品， 掠夺物
spokesman	n. 发言人
sponsor	n. 发起者 vt. 发起； 资助， 赞助； 支持
spontaneous	adj. 自发的
sportsman	n. 运动员
spot	n. 点，斑点；地点，处所；少量 vt. 认出， 发现； 玷污
spray	v. 喷， 溅散 n. 浪花，水花；喷雾
spread	v. 扩散；传播
spring	v. 跳，跃 n. 泉；跳跃
spur	n. 刺激物 vt. 刺激， 鞭策， 激励
square	n. 正方形；广场
squeeze	v. 挤；压榨，榨取；捏，握 n. 挤； 握手； 拮据， 紧缺
stability	n. 稳定；稳定性
stable	adj. 稳定的，不变的；沉稳的，持重的 n. 厩， 马厩， 牛棚
stack	n. 堆，垛 vt. 堆积， 堆放于
stadium	n. 运动场， 体育场
staff	n. 工作人员；参谋 vt. 为…配备人员
stage	n. 阶段；舞台
stain	vt. 玷污；给…着色 n. 污点， 污迹
stair	n. 楼梯
stake	n. 桩；利害关系；股份；赌金，赌注 vt. 以…打赌， 拿…冒险
stale	adj. 不新鲜的； 陈腐的， 过时的
standardize	v. 使标准化
standpoint	n. 立场， 观点
stare	n&vi. 盯， 凝视
startle	v. 吃惊
startup	n. 启动，开办
starve	v. 挨饿， 饿死
statement	n. 陈述， 声明； 结算单， 报表
static	adj. 静的，静态的；静止的，停滞的 n. 静电
statistic	n. 统计数值， 统计资料； 统计学
statistical	adj. 统计的，统计学的
statistics	n. 统计学；数据
statue	n. 塑像， 雕像， 铸像
status	n. 地位， 身份； 情形， 状况
steady	vi. 稳定 adj. 稳的，平稳的；稳定的，持续的；稳固的
steal	v. 偷窃
steam	n. 蒸汽 v. 蒸发；蒸
steamer	n. 轮船， 汽船
steel	n. 钢，钢铁
steep	adj. 险峻的， 陡峭的； 过高的； 急剧的
steer	v. 掌舵， 驾驶； 操纵
stem	vi. 起源 n. 茎，干；词干 vt. 堵住， 止住， 停住
stereotype	n. 陈规，老套，固定的模式；铅版 vt. 把…浇铸成铅版； 对…形成固定看法
sticky	adj. 黏性的， 胶黏的； 湿热的
stiff	adv. 极其， 非常； 僵硬地 adj. 硬的，僵直的；不灵活的；拘谨的，生硬的；费劲的；强烈的
stimulate	vt. 刺激， 激励， 激发
sting	v. 刺，蜇，叮 n. 刺伤处，蜇伤处
stir	v. 搅动；拨动；激动；唤起 n. 搅拌， 搅动； 激动， 骚乱
stock	adj. 常用的， 常备的 n. 原料，库存品；股本，公债；世系，血统；汤汁；家畜，牲畜 vt. 储备
stocking	n. 长（筒）袜
stoop	v. 俯身，弯腰；堕落，自贬 n. 弯腰， 曲背
storage	n. 贮藏； 贮藏量
store	n. 商店；贮藏；贮存品
storey	n. （层）楼
stove	n. 炉， 火炉， 电炉
strain	v. 扭伤， 拉伤； 尽力； 拉紧 n. 拉紧；过劳；极度紧张；张力；扭伤，拉伤；旋律；品种，家系；气质，个性特点
strange	adj. 陌生的；奇怪的
stranger	n. 陌生人；新来者
strap	n. 带子 vt. 捆扎； 用绷带包扎
strategic	adj. 对全局有重要意义的， 关键的； 战略的
strategy	n. 战略， 策略
straw	n. 稻草； 麦秆吸管， 吸管
stream	v. 流出， 涌出 n. 河，溪流；一股，一串
strengthen	vt. 加强， 巩固
stress	n. 压力；强调；重要性；应力；重音 vt. 强调， 着重； 重读
stressful	adj. 充满著压力的，充满著紧张的
stretch	v. 伸展，延续；伸长，拉长；倾注全力；紧张 n. 一段时间， 一段路程， 连绵的一片； 伸展， 延伸
strict	adj. 严格的
striking	adj. 显著的， 突出的； 惹人注目的， 容貌出众的
string	vi. 连成一串； 排成一行前进 n. 线，细绳；一串，一行 vt. 缚，扎，挂；串起，穿；使排成一列；伸展，拉直
strip	v. 脱光衣服；剥夺，夺去 n. 条带
stripe	n. 条纹，条子
stroke	n. 中风；一举，一次努力；划桨，划水；击，敲；报时的钟声；笔画，一笔；抚摸 vt. 抚摸
structural	adj. 结构的，构造的
structure	n. 结构，构造 vt. 建造
struggle	v. 搏斗
studio	n. 画室， 摄影室； 播音室， 录音室， 摄影棚
stuff	n. 材料，东西 vt. 装， 填， 塞； 让…吃饱
subdivision	n. 分支; 分部
subject	n. 题目； 学科； 主语 vt. 使隶属
submarine	adj. 水下的 n. 潜水艇
submerge	v. 淹没， 潜入水中
submit	vi. 屈从， 听从， 服从 vt. 呈送，提交；主张，建议；使服从，使降服
subsequent	adj. 随后的， 后来的
subsidize	v. 提供补贴
substance	n. 物质； 实质； 大意， 要旨； 根据， 理由
substantial	adj. 可观的， 大量的； 结实的， 坚固的； 实质的， 真实的
substitute	n. 代替人；代用品 vt. 用…代替
subtract	vt. 减， 减去， 去掉
suburb	n. 郊区， 郊外， 近郊
subway	n. 地道；地下铁路
succeeding	adj. 以后的， 随后的
succession	n. 连续； 一连串； 接替， 继任， 继承
successive	adj. 连续的， 接连的
suck	v. 吸， 吮， 啜； 吸收
suffer	v. 遭受， 忍受， 容许； 受痛苦， 受损
sufficient	adj. 足够的， 充分的
suggestion	n. 建议， 意见； 细微的迹象； 暗示
suicide	n&v. 自杀
suit	n. 起诉，诉讼 v. 适合
sulfur	n. 硫（磺），硫黄
sulphur	n. 硫（磺），硫黄
sum	vi. 共计 n. 总数；金额；算术
summarize	vt. 概括， 概述， 总结
summary	adj. 概括的， 概要的； 实时的， 即决的 n. 摘要，概要，一览
